InstitutionName,InstitutionLabel,Country,CountryCode,ConsortiaCode,MemberType,sId,rorId,isConsortium,Institution,salsaId,orgId,Comment,TP,FP,FN,TN
Niels Bohr Institute,Niels Bohr Institute,Denmark,DK,,member,439,,0,Niels Bohr Institute,52318440,60030840,"Not tracked in scopus. Scopus OrgID is for University of Copenhagen, https://ror.org/035b05819, should this report be university-wide?",0,0,0,0
Vrije Universiteit Brussel,Vrije Universiteit Brussel,Belgium,BE,,member,440,https://ror.org/006e5kg04,0,Vrije Universiteit Brussel,52318443,60026810,,1,0,1,1998
Lehigh University,Lehigh University,United States,US,,member,441,https://ror.org/012afjb06,0,Lehigh University,1735036,60000060,,4,0,0,1996
International Centre for Theoretical Physics (ICTP),International Centre for Theoretical Physics (ICTP),Italy,IT,,member,442,https://ror.org/009gyvm78,0,International Centre for Theoretical Physics (ICTP),5211104,60031745,,3,0,0,1997
Syracuse University,Syracuse University,United States,US,,member,443,https://ror.org/025r5qe02,0,Syracuse University,1715668,60030551,,4,1,1,1994
Iowa State University,Iowa State University,United States,US,,member,444,https://ror.org/04rswrd78,0,Iowa State University,5231170,60004354,,0,1,0,1999
McMaster University,McMaster University,Canada,CA,CRKN,member,445,https://ror.org/02fa3aq29,0,McMaster University,52318447,60031828,,3,0,0,1997
Brown University,Brown University,United States,US,,member,446,https://ror.org/05gq02987,0,Brown University,5231128,60011460,,3,1,1,1995
Aalto University,Aalto University,Finland,FI,FinELib,member,447,https://ror.org/020hwjq30,0,Aalto University,52318446,60103653,,6,0,0,1994
Tsinghua University,Tsinghua University,China,CN,,member,448,https://ror.org/03cve4549,0,Tsinghua University,5231233,60025278,,26,7,4,1963
Tampere University,Tampere University,Finland,FI,FinELib,member,449,https://ror.org/033003e23,0,Tampere University,,60011170,,1,0,0,1999
Queens University,Queens University,Canada,CA,,member,450,https://ror.org/02y72wh86,0,Queens University,52320618,60016005,,0,2,0,1998
University of Notre Dame,University of Notre Dame,United States,US,,member,451,https://ror.org/00mkhxb43,0,University of Notre Dame,52318430,60021508,,7,2,1,1990
Macquarie University,Macquarie University,Australia,AU,CAUL,member,452,https://ror.org/01sf06y89,0,Macquarie University,2233828,60019544,,5,0,0,1995
Universität Basel,Universität Basel,Switzerland,CH,,member,453,https://ror.org/02s6k3f65,0,Universität Basel,52318434,60023588,,3,0,0,1997
Princeton University,Princeton University,United States,US,,member,454,https://ror.org/00hx57361,0,Princeton University,52318492,60003269,,11,16,3,1970
University of Wollongong,University of Wollongong,Australia,AU,CAUL,member,455,https://ror.org/00jtmb277,0,University of Wollongong,52320632,60011664,,1,0,0,1999
Queensland University of Technology,Queensland University of Technology,Australia,AU,CAUL,member,456,https://ror.org/03pnv4752,0,Queensland University of Technology,52320573,60011019,,0,0,0,2000
KU Leuven,KU Leuven,Belgium,BE,,member,457,https://ror.org/05f950310,0,KU Leuven,52320623,60025063,,6,2,0,1992
Joint Institute for Nuclear Research (JINR),Joint Institute for Nuclear Research (JINR),Russian Federation,RU,,member,458,https://ror.org/044yd9t77,0,Joint Institute for Nuclear Research (JINR),52320622,60004764,,4,0,3,1993
Universitetet Oslo,Universitetet Oslo,Norway,NO,,member,459,https://ror.org/01xtthb56,0,Universitetet Oslo,5231260,60010348,,2,1,2,1995
National Library of Sweden,National Library of Sweden,Sweden,SE,,member,460,https://ror.org/049bh0z35,0,National Library of Sweden,52320624,,"Not in Scopus, should this be all Swedish Institutions?",0,0,0,2000
